Province, City, Mode, tmEf, wf, tmn, tmx, rnSt
서울ㆍ인천ㆍ경기도, 서울, A02, 2024-01-15 00:00, 맑음, -7, 1, 10
서울ㆍ인천ㆍ경기도, 서울, A02, 2024-01-15 12:00, 맑음, -7, 1, 10
서울ㆍ인천ㆍ경기도, 서울, A02, 2024-01-16 00:00, 맑음, -6, 3, 10
서울ㆍ인천ㆍ경기도, 서울, A02, 2024-01-16 12:00, 맑음, -6, 3, 10
서울ㆍ인천ㆍ경기도, 서울, A02, 2024-01-17 00:00, 구름많음, -3, 4, 30
서울ㆍ인천ㆍ경기도, 서울, A02, 2024-01-17 12:00, 구름많음, -3, 4, 30
서울ㆍ인천ㆍ경기도, 서울, A02, 2024-01-18 00:00, 흐림, 0, 4, 40
서울ㆍ인천ㆍ경기도, 서울, A02, 2024-01-18 12:00, 흐림, 0, 4, 40
서울ㆍ인천ㆍ경기도, 서울, A02, 2024-01-19 00:00, 흐림, 0, 5, 40
서울ㆍ인천ㆍ경기도, 서울, A02, 2024-01-19 12:00, 흐림, 0, 5, 30
서울ㆍ인천ㆍ경기도, 서울, A01, 2024-01-20 00:00, 흐림, -1, 4, 40
서울ㆍ인천ㆍ경기도, 서울, A01, 2024-01-21 00:00, 흐림, -3, 3, 30
서울ㆍ인천ㆍ경기도, 서울, A01, 2024-01-22 00:00, 맑음, -4, 1, 20
